L,logL
1.48449128993404e-17,-38.74887443303413
3.3709939023424737e-16,-35.62615386051162
2.377637860085163e-16,-35.975253988833934
1.0376428631836128e-13,-29.89665454582549
6.134534102359465e-13,-28.119672074579082
8.217747239127802e-17,-37.03765046789185
1.3802489303252842e-16,-36.519097620709225
6.3283125917681045e-21,-46.509253325436205
6.615186285814159e-09,-18.833897878655193
3.560067590940569e-17,-37.87416704999581
1.104774269583777e-14,-32.13655026873477
6.164700835915491e-18,-39.627692064663925
1.0472924626095084e-12,-27.58481288913112
3.18242153404328e-13,-28.775963813223065
1.5936435229412745e-11,-24.86241310437662
5.123882270779145e-15,-32.904863987178565
3.694277210586836e-15,-33.23199147247692
1.172955362625106e-12,-27.471494601009326
9.857768732751655e-14,-29.947931453763413
2.4010193935151454e-17,-38.2680531864265
7.605353506758964e-15,-32.50992398681375
4.748689496251263e-13,-28.37573752446827
2.125542484632395e-17,-38.389919524216715
1.571726913735542e-19,-43.29694180696849
7.735030658149098e-14,-30.190431854337845
8.792952251126009e-14,-30.062240781862506
2.8085185012066735e-21,-47.32162983233049
6.744242492443498e-11,-23.419746846113362
6.709230605491832e-14,-30.33270702136858
2.5177819748747046e-23,-52.036078793616134
3.8646719311783045e-18,-40.0946548774281
7.159390810269559e-15,-32.57035149992243
6.5405558175343394e-15,-32.660754245662226
1.4032300775214459e-18,-41.107754896537045
4.271740989505006e-15,-33.08675492488837
3.4580862840970847e-16,-35.60064614893148
7.68293637890614e-17,-37.10494476580949
8.068195873279709e-15,-32.45084649731474
5.818901509668869e-16,-35.080249988018934
5.680623283596327e-14,-30.499130342176283
3.8406753780472566e-18,-40.1008834430584
5.313350563942205e-18,-39.776309046304085
2.3617523651098645e-17,-38.28454270980956
1.4425908995416597e-16,-36.474920755209816
2.563063236620213e-16,-35.90015836793595
1.1053264988755536e-16,-36.741220722483355
2.904229390079326e-19,-42.682948681969805
5.958126726018453e-19,-41.964360642929655
2.112284792372198e-10,-22.278080728313995
1.7603985252368436e-17,-38.578406362687545
6.75248720772177e-14,-30.326280389684484
1.835200907217128e-17,-38.53679261916355
1.0123800403148242e-16,-36.82905745362674
4.041366883989676e-14,-30.839608329545634
1.7356568718680144e-13,-29.38222026667456
1.6693620375942842e-16,-36.328919947878376
5.335690838986511e-18,-39.77211330567868
5.25937191227059e-16,-35.18134987659843
2.9809957361906866e-17,-38.05168919653239
4.776619638575161e-12,-26.067288008183592
2.843291322422508e-17,-38.098984283404874
1.8240992703777084e-24,-54.66095591713673
2.132680697721585e-21,-47.59690722092442
1.1086737565452013e-19,-43.6459522798451
4.048287337053109e-15,-33.14048248297106
1.696645764837668e-12,-27.102367893459224
2.5517510515210155e-11,-24.391656212554732
3.483950117647514e-18,-40.19836493255744
8.550252901198265e-22,-48.51091118427027
6.006304300076544e-19,-41.956307132595796
6.263581404415773e-13,-28.09885407807115
2.811431018803183e-13,-28.89991259584492
5.533295158858885e-16,-35.13057798023554
9.167100499260172e-19,-41.53349572481033
9.31330607564807e-15,-32.30733225649212
4.616051936703235e-15,-33.009236614316
8.740296194542997e-20,-43.88375778125189
1.6281039456809453e-18,-40.959115559652346
2.168518970796625e-19,-42.975072334282004
8.93099009136686e-16,-34.65183422666874
4.692267974152554e-14,-30.690275259765553
7.624239358711572e-19,-41.71778420560393
1.1100820529790433e-12,-27.52658718173363
1.039502588939546e-14,-32.19744898304148
1.9020210395498001e-16,-36.198444462039454
5.091944018247498e-17,-37.516286894323855
1.1701525428141899e-20,-45.89456774109612
2.5962984697979173e-18,-40.49244490870226
7.889868839399505e-15,-32.473196883841325
2.774039864544807e-13,-28.913301516352817
1.179509996797553e-12,-27.465922020645248
7.668297167138686e-17,-37.10685200227503
3.298768634878268e-14,-31.04264204402459
2.7519468787102604e-15,-33.52646777782013
2.0280910531416644e-16,-36.13426650518483
5.055257819818452e-19,-42.12868791278359
5.56800773267504e-18,-39.729494362091
6.286788684406624e-14,-30.397740904595363
1.4444182115432456e-16,-36.47365486918362
2.6616423891188427e-15,-33.559833023136065
7.418261058933231e-16,-34.83741681682606
1.7086466220040043e-13,-29.397904600889696
3.5365504344851497e-17,-37.880794782376874
6.359514610062455e-17,-37.293994525631774
1.0741407705552179e-16,-36.76984042912668
1.753121727293456e-17,-38.58254853795607
2.6379371329255288e-14,-31.26619407924532
3.6224923883372415e-18,-40.15936937990048
1.6900301301498527e-20,-45.526955502613816
5.679291462337125e-16,-35.10453500549895
6.166706227382131e-23,-51.1402922802163
9.573630633813897e-21,-46.09527444278112
1.479895725363945e-16,-36.44938985844601
2.780811185484383e-14,-31.21344862343778
3.079165645340587e-13,-28.808947543005562
5.420427595550796e-20,-44.36152715537314
4.577445066411406e-19,-42.227975770176315
1.8300743342457387e-14,-31.631834716081855
1.376217624962068e-19,-43.4297778822054
1.3328654243734115e-15,-34.25144531576979
2.9032647868660183e-17,-38.07811068855661
1.5689839129766208e-16,-36.390933267248705
1.7491363732049462e-19,-43.18999460178891
1.0162918294849325e-13,-29.917445667265
1.2095736046088059e-11,-25.1381681183161
2.1698386999819324e-18,-40.671878840908754
3.429686180787608e-15,-33.30630763040027
1.0720658874193267e-17,-39.074359057994
2.5234835194017774e-12,-26.705380820001
3.119379309902784e-15,-33.401142352014034
1.1229931397773965e-17,-39.02794901399694
1.3458856762889974e-16,-36.54430919618173
4.335510102652829e-16,-35.374522213856054
8.838149898011027e-20,-43.87262429269037
6.05627445390842e-17,-37.342851746452936
2.579399102421758e-14,-31.288634836148013
2.9968405068032304e-13,-28.83604763962072
5.457758988957558e-17,-37.44690831697903
2.6527641299273623e-15,-33.56317423063277
1.6899483087258462e-15,-34.01407845299623
7.158422946502501e-15,-32.57048669706705
2.1082938230439455e-18,-40.70065266818116
2.5026976039953123e-22,-49.739502854143666
6.644759304517539e-18,-39.552703204427665
1.2891449016983819e-14,-31.982212170236938
1.6667996100641192e-22,-50.14596665924567
2.465271791651208e-20,-45.149399798159735
2.7294547794450593e-13,-28.929504334160306
1.0465851167256624e-16,-36.795828893644504
1.7490402345386132e-11,-24.76936882285239
3.2694559489391537e-21,-47.16966335827911
9.08174086213515e-19,-41.542850867745784
4.032095938824461e-15,-33.144490070073395
3.909419370671921e-15,-33.175387530489786
5.426173302072038e-19,-42.05788261396518
1.4861339477345094e-22,-50.260693963841355
5.72909372172703e-19,-42.00355941241689
7.438812088498112e-18,-39.43982050332017
2.003478962667078e-20,-45.356816709132936
8.582478889258947e-19,-41.599393980282805
1.616853661831319e-17,-38.663464504194266
2.0484390368912159e-16,-36.124283430220146
2.6724771472680606e-11,-24.345430210123013
3.747967705716866e-22,-49.335658297934195
1.557253878700587e-16,-36.398437552018464
1.442341104905913e-17,-38.77767902014412
1.168825528596107e-13,-29.777606785992102
2.489405967456095e-13,-29.021562094194383
2.1230313994484914e-15,-33.78593142216776
1.2310506827924944e-14,-32.02832328351273
1.9777654540602295e-12,-26.94905346707929
2.408655462120756e-18,-40.56746298160907
1.0247045525580742e-18,-41.42212734425874
7.493434849147965e-19,-41.735089483137095
2.001733355903931e-19,-43.05510328372344
1.5070140733073352e-17,-38.73381632267337
1.5037591161511837e-20,-45.64373380931411
8.223098414010505e-19,-41.64216969283031
6.903954655514077e-19,-41.817022380984476
6.644903343864553e-19,-41.85526662052127
2.4246642314956417e-19,-42.86342371332298
2.546454362912445e-15,-33.604074449223965
4.508035552507716e-12,-26.12515963324536
6.615965672073877e-13,-28.044120439837112
3.91904409984544e-24,-53.896194459871715
4.559550077212421e-17,-37.62672262951839
4.632394205375358e-25,-56.03155348341424
6.629025365769565e-14,-30.34473351217963
1.2222546974547149e-15,-34.33807912915676
1.728813383457838e-20,-45.50426659222774
3.965583311313024e-13,-28.555953249570894
3.0682145498478644e-13,-28.812510396360764
5.495875344226388e-12,-25.92702324244724
8.62552117806811e-13,-27.7788808213881
5.19243227239707e-21,-46.707084719543445
1.6498332923387103e-10,-22.52517668207858
1.1005241630246937e-19,-43.65333018873762
1.4827944941428308e-13,-29.539677729783932
7.765007702365765e-15,-32.48914894637675
3.2935221737107003e-18,-40.25457411224948
3.494944840977916e-13,-28.682288615628053
